date,precipitation
2017-01-27,0.0
2017-01-27,0.0
2017-01-27,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-28,0.0
2017-01-28,0.0
2017-01-28,0.0
2017-01-28,0.14
2017-01-29,
2017-01-29,0.26
2017-01-29,0.18
2017-01-29,0.0
2017-01-29,0.55
2017-01-30,0.05
2017-01-30,0.0
2017-01-30,
2017-01-30,0.0
2017-01-30,0.0
2017-01-30,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-03,0.0
2017-02-03,0.0
2017-02-03,0.0
2017-02-03,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-04,0.0
2017-02-04,0.0
2017-02-04,
2017-02-04,0.0
2017-02-05,0.0
2017-02-05,0.0
2017-02-05,0.0
2017-02-05,
2017-02-05,0.0
2017-02-05,0.0
2017-02-06,0.18
2017-02-06,0.16
2017-02-06,0.04
2017-02-06,0.0
2017-02-06,
2017-02-06,0.0
2017-02-06,0.0
2017-02-07,0.9
2017-02-07,0.51
2017-02-07,1.32
2017-02-07,1.79
2017-02-07,0.0
2017-02-07,1.08
2017-02-07,1.8
2017-02-08,0.0
2017-02-08,0.0
2017-02-08,1.08
2017-02-08,0.0
2017-02-08,0.0
2017-02-08,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-09,0.0
2017-02-09,0.0
2017-02-09,0.0
2017-02-09,0.0
2017-02-09,0.0
2017-02-09,0.02
2017-02-10,0.0
2017-02-10,0.0
2017-02-10,0.0
2017-02-10,0.0
2017-02-10,0.0
2017-02-10,0.0
2017-02-10,0.0
2017-02-11,1.0
2017-02-11,0.31
2017-02-11,1.73
2017-02-11,0.73
2017-02-11,2.39
2017-02-11,5.04
2017-02-12,1.83
2017-02-12,1.07
2017-02-12,2.62
2017-02-12,1.91
2017-02-12,0.07
2017-02-12,2.98
2017-02-13,0.01
2017-02-13,2.9
2017-02-13,0.01
2017-02-13,0.0
2017-02-13,0.0
2017-02-13,
2017-02-13,0.0
2017-02-14,0.0
2017-02-14,0.01
2017-02-14,0.0
2017-02-14,0.0
2017-02-14,0.0
2017-02-14,0.0
2017-02-15,0.07
2017-02-15,0.01
2017-02-15,0.0
2017-02-15,
2017-02-15,0.0
2017-02-15,0.0
2017-02-15,
2017-02-16,0.62
2017-02-16,0.07
2017-02-16,0.67
2017-02-16,0.0
2017-02-16,
2017-02-16,0.73
2017-02-16,0.13
2017-02-17,0.06
2017-02-17,0.06
2017-02-17,0.8
2017-02-17,0.0
2017-02-17,0.0
2017-02-17,0.13
2017-02-18,0.01
2017-02-18,0.0
2017-02-18,0.0
2017-02-18,0.0
2017-02-18,
2017-02-19,0.1
2017-02-19,0.0
2017-02-19,0.0
2017-02-19,0.09
2017-02-20,0.0
2017-02-20,0.0
2017-02-20,0.0
2017-02-20,
2017-02-20,
2017-02-20,0.0
2017-02-21,0.0
2017-02-21,
2017-02-21,0.07
2017-02-21,0.06
2017-02-21,0.0
2017-02-21,0.0
2017-02-22,0.06
2017-02-22,0.13
2017-02-22,0.32
2017-02-22,0.17
2017-02-22,0.06
2017-02-22,0.06
2017-02-22,0.11
2017-02-23,0.0
2017-02-23,0.0
2017-02-23,0.0
2017-02-23,0.0
2017-02-23,0.01
2017-02-23,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-24,0.0
2017-02-25,0.03
2017-02-25,0.0
2017-02-25,0.0
2017-02-25,0.12
2017-02-26,0.0
2017-02-26,0.0
2017-02-26,
2017-02-26,0.0
2017-02-26,0.0
2017-02-26,
2017-02-27,0.0
2017-02-27,0.0
2017-02-27,0.0
2017-02-27,0.0
2017-02-27,0.0
2017-02-27,0.0
2017-02-27,
2017-02-28,
2017-02-28,0.0
2017-02-28,0.58
2017-02-28,0.04
2017-02-28,0.0
2017-02-28,0.04
2017-02-28,0.16
2017-03-01,2.12
2017-03-01,2.4
2017-03-01,1.12
2017-03-01,2.2
2017-03-01,0.59
2017-03-01,1.19
2017-03-01,2.0
2017-03-02,0.73
2017-03-02,0.58
2017-03-02,1.48
2017-03-02,0.44
2017-03-02,1.45
2017-03-02,1.88
2017-03-03,0.56
2017-03-03,0.25
2017-03-03,
2017-03-03,0.54
2017-03-03,0.47
2017-03-03,0.27
2017-03-03,0.14
2017-03-04,0.0
2017-03-04,0.0
2017-03-04,0.0
2017-03-04,0.0
2017-03-04,0.0
2017-03-05,0.35
2017-03-05,0.41
2017-03-05,0.35
2017-03-05,0.1
2017-03-06,
2017-03-06,0.03
2017-03-06,0.0
2017-03-06,0.51
2017-03-06,0.0
2017-03-06,
2017-03-06,
2017-03-07,0.0
2017-03-07,0.0
2017-03-07,0.0
2017-03-07,
2017-03-07,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-08,0.0
2017-03-08,0.0
2017-03-08,
2017-03-08,0.0
2017-03-08,0.0
2017-03-09,0.01
2017-03-09,0.65
2017-03-09,0.0
2017-03-09,0.5
2017-03-09,0.0
2017-03-09,0.8
2017-03-09,
2017-03-10,0.0
2017-03-10,0.13
